STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,milkitem,Item of milk,dairyprod,Dairy and other animal products (except meat),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1986-01,,0,,n,not significant,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1986-02,,0,,n,not significant,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1986-03,,0,,n,not significant,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-01,,51.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-02,,51.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-03,,57,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-04,,44.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-05,,58.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-06,,53.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-07,,54.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-08,,52.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-09,,52.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-10,,52,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-11,,55.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1987-12,,55.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-01,,52.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-02,,58.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-03,,61,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-04,,57.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-05,,57,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-06,,61.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-07,,61.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-08,,51.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-09,,51.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-10,,52.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-11,,57.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1988-12,,57.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-01,,62,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-02,,60.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-03,,66.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-04,,58.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-05,,60.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-06,,58.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-07,,60.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-08,,53.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-09,,47.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-10,,54.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-11,,52.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1989-12,,57.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-01,,48.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-02,,59.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-03,,63,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-04,,63.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-05,,77.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-06,,59,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-07,,59.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-08,,53.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-09,,55.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-10,,57,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-11,,60.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1990-12,,59,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-01,,61.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-02,,57.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-03,,64.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-04,,63.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-05,,65,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-06,,57.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-07,,58,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-08,,63.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1991-09,,60.4,,,,,
